ID,Prob1
0, 0.29
1, 0.45
2, 0.50
3, 0.38
4, 0.10
5, 0.29
6, 0.13
7, 0.50
8, 0.65
9, 0.39
10, 0.34
11, 0.41
12, 0.45
13, 0.48
14, 0.64
15, 0.22
16, 0.25
17, 0.09
18, 0.14
19, 0.63
20, 0.28
21, 0.07
22, 0.21
23, 0.27
24, 0.44
25, 0.51
26, 0.35
27, 0.16
28, 0.18
29, 0.69
30, 0.20
31, 0.27
32, 0.20
33, 0.52
34, 0.25
35, 0.51
36, 0.17
37, 0.26
38, 0.42
39, 0.28
40, 0.16
41, 0.14
42, 0.44
43, 0.41
44, 0.56
45, 0.45
46, 0.25
47, 0.24
48, 0.23
49, 0.26
50, 0.58
51, 0.16
52, 0.26
53, 0.22
54, 0.60
55, 0.26
56, 0.45
57, 0.20
58, 0.18
59, 0.27
60, 0.19
61, 0.40
62, 0.38
63, 0.11
64, 0.14
65, 0.20
66, 0.24
67, 0.17
68, 0.29
69, 0.26
70, 0.73
71, 0.54
72, 0.27
73, 0.14
74, 0.20
75, 0.49
76, 0.13
77, 0.27
78, 0.13
79, 0.39
80, 0.21
81, 0.12
82, 0.20
83, 0.61
84, 0.44
85, 0.20
86, 0.71
87, 0.35
88, 0.26
89, 0.55
90, 0.26
91, 0.20
92, 0.17
93, 0.58
94, 0.38
95, 0.35
96, 0.36
97, 0.12
98, 0.20
99, 0.55
100, 0.45
101, 0.44
102, 0.56
103, 0.20
104, 0.15
105, 0.07
106, 0.16
107, 0.48
108, 0.27
109, 0.14
110, 0.26
111, 0.22
112, 0.11
113, 0.49
114, 0.55
115, 0.04
116, 0.28
117, 0.31
118, 0.55
119, 0.37
120, 0.11
121, 0.30
122, 0.61
123, 0.28
124, 0.04
125, 0.34
126, 0.28
127, 0.51
128, 0.26
129, 0.30
130, 0.29
131, 0.22
132, 0.17
133, 0.17
134, 0.25
135, 0.32
136, 0.16
137, 0.07
138, 0.08
139, 0.12
140, 0.07
141, 0.43
142, 0.41
143, 0.04
144, 0.17
145, 0.49
146, 0.65
147, 0.20
148, 0.27
149, 0.16
150, 0.35
151, 0.17
152, 0.26
153, 0.15
154, 0.49
155, 0.16
156, 0.41
157, 0.28
158, 0.07
159, 0.63
160, 0.49
161, 0.50
162, 0.17
163, 0.19
