ID,Prob1
0, 0.21
1, 0.24
2, 0.32
3, 0.21
4, 0.18
5, 0.29
6, 0.26
7, 0.71
8, 0.64
9, 0.13
10, 0.31
11, 0.20
12, 0.20
13, 0.39
14, 0.31
15, 0.07
16, 0.21
17, 0.20
18, 0.12
19, 0.33
20, 0.18
21, 0.24
22, 0.31
23, 0.24
24, 0.10
25, 0.17
26, 0.25
27, 0.14
28, 0.28
29, 0.76
30, 0.15
31, 0.13
32, 0.15
33, 0.29
34, 0.35
35, 0.29
36, 0.19
37, 0.24
38, 0.30
39, 0.36
40, 0.22
41, 0.08
42, 0.27
43, 0.32
44, 0.28
45, 0.21
46, 0.14
47, 0.59
48, 0.32
49, 0.29
50, 0.38
51, 0.16
52, 0.51
53, 0.19
54, 0.58
55, 0.09
56, 0.37
57, 0.10
58, 0.20
59, 0.27
60, 0.27
61, 0.31
62, 0.16
63, 0.19
64, 0.12
65, 0.18
66, 0.28
67, 0.12
68, 0.17
69, 0.20
70, 0.68
71, 0.75
72, 0.33
73, 0.15
74, 0.20
75, 0.17
76, 0.14
77, 0.29
78, 0.19
79, 0.21
80, 0.22
81, 0.17
82, 0.19
83, 0.21
84, 0.64
85, 0.19
86, 0.63
87, 0.17
88, 0.09
89, 0.58
90, 0.14
91, 0.21
92, 0.14
93, 0.37
94, 0.22
95, 0.13
96, 0.13
97, 0.15
98, 0.16
99, 0.60
100, 0.19
101, 0.29
102, 0.23
103, 0.25
104, 0.14
105, 0.19
106, 0.10
107, 0.26
108, 0.13
109, 0.22
110, 0.22
111, 0.16
112, 0.23
113, 0.23
114, 0.63
115, 0.09
116, 0.14
117, 0.34
118, 0.23
119, 0.16
120, 0.18
121, 0.20
122, 0.63
123, 0.45
124, 0.21
125, 0.15
126, 0.24
127, 0.43
128, 0.21
129, 0.13
130, 0.43
131, 0.34
132, 0.29
133, 0.21
134, 0.22
135, 0.26
136, 0.10
137, 0.11
138, 0.26
139, 0.03
140, 0.07
141, 0.24
142, 0.72
143, 0.14
144, 0.33
145, 0.16
146, 0.48
147, 0.12
148, 0.24
149, 0.19
150, 0.38
151, 0.20
152, 0.18
153, 0.11
154, 0.55
155, 0.14
156, 0.29
157, 0.16
158, 0.14
159, 0.37
160, 0.18
161, 0.11
162, 0.17
163, 0.16
164, 0.13
165, 0.21
166, 0.09
167, 0.29
168, 0.37
169, 0.17
170, 0.17
171, 0.30
172, 0.12
173, 0.71
174, 0.20
175, 0.17
176, 0.21
177, 0.22
178, 0.58
179, 0.14
180, 0.48
181, 0.44
182, 0.26
183, 0.18
184, 0.51
185, 0.29
186, 0.41
187, 0.55
188, 0.29
189, 0.26
190, 0.86
191, 0.33
192, 0.43
193, 0.14
194, 0.20
195, 0.33
196, 0.10
197, 0.27
198, 0.19
199, 0.14
200, 0.11
201, 0.16
202, 0.56
203, 0.14
204, 0.38
205, 0.20
206, 0.19
207, 0.30
208, 0.14
209, 0.52
210, 0.18
211, 0.21
212, 0.23
213, 0.41
214, 0.22
215, 0.11
216, 0.24
217, 0.17
218, 0.17
219, 0.30
220, 0.23
221, 0.51
222, 0.21
223, 0.33
224, 0.26
225, 0.19
226, 0.48
227, 0.33
228, 0.27
229, 0.15
230, 0.21
231, 0.47
232, 0.20
233, 0.09
234, 0.17
235, 0.31
236, 0.19
237, 0.29
238, 0.54
239, 0.30
240, 0.34
241, 0.14
242, 0.26
243, 0.17
244, 0.12
245, 0.54
246, 0.17
247, 0.67
248, 0.31
249, 0.09
250, 0.42
251, 0.17
252, 0.13
253, 0.16
254, 0.18
255, 0.12
256, 0.33
257, 0.11
258, 0.77
259, 0.16
260, 0.33
261, 0.53
262, 0.15
263, 0.10
264, 0.21
265, 0.22
266, 0.09
267, 0.18
268, 0.18
